attendance_id,student_id,class_id,month,attendance_percent
A670,S3112,C107,Dec 2024,93.3
A671,S3112,C107,Jan 2025,63.1
A672,S3112,C107,Feb 2025,62.4
A673,S3113,C111,Sep 2024,95.5
A674,S3113,C111,Oct 2024,69.3
A675,S3113,C111,Nov 2024,50.4
A676,S3113,C111,Dec 2024,86.1
A677,S3113,C111,Jan 2025,75.9
A678,S3113,C111,Feb 2025,88.7
A679,S3114,C102,Sep 2024,78.5
A680,S3114,C102,Oct 2024,67.6
A681,S3114,C102,Nov 2024,53.3
A682,S3114,C102,Dec 2024,93.3
A683,S3114,C102,Jan 2025,60.4
A684,S3114,C102,Feb 2025,98.6
A685,S3115,C112,Sep 2024,62.3
A686,S3115,C112,Oct 2024,91.4
A687,S3115,C112,Nov 2024,89.4
A688,S3115,C112,Dec 2024,73.1
A689,S3115,C112,Jan 2025,70.1
A690,S3115,C112,Feb 2025,
A691,S3116,C101,Sep 2024,85.2
A692,S3116,C101,Oct 2024,76.4
A693,S3116,C101,Nov 2024,81.6
A694,S3116,C101,Dec 2024,73.5
A695,S3116,C101,Jan 2025,77.9
A696,S3116,C101,Feb 2025,59.5
A697,S3117,C107,Sep 2024,52.8
A698,S3117,C107,Oct 2024,67.8
A699,S3117,C107,Nov 2024,73.3
A700,S3117,C107,Dec 2024,95.3
A701,S3117,C107,Jan 2025,70.7
A702,S3117,C107,Feb 2025,71.7
A703,S3118,C112,Sep 2024,83.7
A704,S3118,C112,Oct 2024,60.3
A705,S3118,C112,Nov 2024,93.6
A706,S3118,C112,Dec 2024,71.4
A707,S3118,C112,Jan 2025,96.5
A708,S3118,C112,Feb 2025,63.6
A709,S3119,C110,Sep 2024,73.3
A710,S3119,C110,Oct 2024,88.9
A711,S3119,C110,Nov 2024,77.8
A712,S3119,C110,Dec 2024,83.1
A713,S3119,C110,Jan 2025,64.0
A714,S3119,C110,Feb 2025,66.4
A715,S3120,C105,Sep 2024,75.4
A716,S3120,C105,Oct 2024,60.1
A717,S3120,C105,Nov 2024,56.3
A718,S3120,C105,Dec 2024,92.2
A719,S3120,C105,Jan 2025,88.7
A720,S3120,C105,Feb 2025,96.6
A721,S3121,C109,Sep 2024,79.3
A722,S3121,C109,Oct 2024,
A723,S3121,C109,Nov 2024,71.0
A724,S3121,C109,Dec 2024,55.2
A725,S3121,C109,Jan 2025,92.5
A726,S3121,C109,Feb 2025,72.8
A727,S3122,C110,Sep 2024,78.1
A728,S3122,C110,Oct 2024,65.7
A729,S3122,C110,Nov 2024,76.2
A730,S3122,C110,Dec 2024,89.1
A731,S3122,C110,Jan 2025,85.6
A732,S3122,C110,Feb 2025,99.4
A733,S3123,C105,Sep 2024,74.8
A734,S3123,C105,Oct 2024,76.5
A735,S3123,C105,Nov 2024,52.6
A736,S3123,C105,Dec 2024,69.5
A737,S3123,C105,Jan 2025,96.1
A738,S3123,C105,Feb 2025,67.5
A739,S3124,C101,Sep 2024,88.3
A740,S3124,C101,Oct 2024,98.9
A741,S3124,C101,Nov 2024,56.3
A742,S3124,C101,Dec 2024,66.7
A743,S3124,C101,Jan 2025,73.7
A744,S3124,C101,Feb 2025,61.9
A745,S3125,C108,Sep 2024,50.6
A746,S3125,C108,Oct 2024,73.4
A747,S3125,C108,Nov 2024,76.8
A748,S3125,C108,Dec 2024,81.3
A749,S3125,C108,Jan 2025,91.4
A750,S3125,C108,Feb 2025,62.7
A751,S3126,C107,Sep 2024,53.1
A752,S3126,C107,Oct 2024,54.5
A753,S3126,C107,Nov 2024,74.9
A754,S3126,C107,Dec 2024,96.1
A755,S3126,C107,Jan 2025,99.1
A756,S3126,C107,Feb 2025,60.3
A757,S3127,C111,Sep 2024,57.6
A758,S3127,C111,Oct 2024,67.7
A759,S3127,C111,Nov 2024,73.2
A760,S3127,C111,Dec 2024,90.4
A761,S3127,C111,Jan 2025,88.7
A762,S3127,C111,Feb 2025,96.1
A763,S3128,C112,Sep 2024,92.9
A764,S3128,C112,Oct 2024,71.9
A765,S3128,C112,Nov 2024,51.0
A766,S3128,C112,Dec 2024,61.8
A767,S3128,C112,Jan 2025,80.5
A768,S3128,C112,Feb 2025,75.1
A769,S3129,C105,Sep 2024,62.0
A770,S3129,C105,Oct 2024,56.6
A771,S3129,C105,Nov 2024,60.8
A772,S3129,C105,Dec 2024,63.0
A773,S3129,C105,Jan 2025,93.4
A774,S3129,C105,Feb 2025,85.5
A775,S3130,C105,Sep 2024,77.6
A776,S3130,C105,Oct 2024,51.0
A777,S3130,C105,Nov 2024,91.1
A778,S3130,C105,Dec 2024,77.6
A779,S3130,C105,Jan 2025,81.4
A780,S3130,C105,Feb 2025,
A781,S3131,C108,Sep 2024,53.3
A782,S3131,C108,Oct 2024,90.7
A783,S3131,C108,Nov 2024,91.6
A784,S3131,C108,Dec 2024,94.2
A785,S3131,C108,Jan 2025,76.4
A786,S3131,C108,Feb 2025,69.7
A787,S3132,C108,Sep 2024,53.7
A788,S3132,C108,Oct 2024,59.7
A789,S3132,C108,Nov 2024,61.3
A790,S3132,C108,Dec 2024,53.1
A791,S3132,C108,Jan 2025,57.7
A792,S3132,C108,Feb 2025,
A793,S3133,C106,Sep 2024,94.3
A794,S3133,C106,Oct 2024,77.3
A795,S3133,C106,Nov 2024,88.2
A796,S3133,C106,Dec 2024,63.8
A797,S3133,C106,Jan 2025,56.7
A798,S3133,C106,Feb 2025,68.7
A799,S3134,C103,Sep 2024,89.6
A800,S3134,C103,Oct 2024,64.9
A801,S3134,C103,Nov 2024,60.2
A802,S3134,C103,Dec 2024,51.1
A803,S3134,C103,Jan 2025,81.2
A804,S3134,C103,Feb 2025,71.8
A805,S3135,C109,Sep 2024,62.9
A806,S3135,C109,Oct 2024,76.0
A807,S3135,C109,Nov 2024,85.0
A808,S3135,C109,Dec 2024,62.4
A809,S3135,C109,Jan 2025,80.4
A810,S3135,C109,Feb 2025,63.0
A811,S3136,C101,Sep 2024,
A812,S3136,C101,Oct 2024,99.3
A813,S3136,C101,Nov 2024,86.6
A814,S3136,C101,Dec 2024,80.1
A815,S3136,C101,Jan 2025,58.6
A816,S3136,C101,Feb 2025,79.3
A817,S3137,C107,Sep 2024,90.0
A818,S3137,C107,Oct 2024,86.9
A819,S3137,C107,Nov 2024,88.9
A820,S3137,C107,Dec 2024,65.9
A821,S3137,C107,Jan 2025,66.4
A822,S3137,C107,Feb 2025,76.9
A823,S3138,C112,Sep 2024,63.9
A824,S3138,C112,Oct 2024,
A825,S3138,C112,Nov 2024,55.7
A826,S3138,C112,Dec 2024,73.1
A827,S3138,C112,Jan 2025,50.1
A828,S3138,C112,Feb 2025,88.0
A829,S3139,C108,Sep 2024,87.5
A830,S3139,C108,Oct 2024,77.6
A831,S3139,C108,Nov 2024,87.4
A832,S3139,C108,Dec 2024,81.2
A833,S3139,C108,Jan 2025,84.9
A834,S3139,C108,Feb 2025,53.2
A835,S3140,C103,Sep 2024,94.1
A836,S3140,C103,Oct 2024,82.2
A837,S3140,C103,Nov 2024,80.5
A838,S3140,C103,Dec 2024,69.4
A839,S3140,C103,Jan 2025,51.4
A840,S3140,C103,Feb 2025,95.1
A841,S3141,C108,Sep 2024,99.3
A842,S3141,C108,Oct 2024,90.4
A843,S3141,C108,Nov 2024,95.8
A844,S3141,C108,Dec 2024,56.0
A845,S3141,C108,Jan 2025,56.4
A846,S3141,C108,Feb 2025,94.0
A847,S3142,C101,Sep 2024,52.9
A848,S3142,C101,Oct 2024,54.7
A849,S3142,C101,Nov 2024,90.8
A850,S3142,C101,Dec 2024,77.8
A851,S3142,C101,Jan 2025,69.6
A852,S3142,C101,Feb 2025,77.7
A853,S3143,C104,Sep 2024,93.9
A854,S3143,C104,Oct 2024,87.9
A855,S3143,C104,Nov 2024,
A856,S3143,C104,Dec 2024,84.6
A857,S3143,C104,Jan 2025,
A858,S3143,C104,Feb 2025,98.8
A859,S3144,C105,Sep 2024,76.1
A860,S3144,C105,Oct 2024,50.3
A861,S3144,C105,Nov 2024,71.5
A862,S3144,C105,Dec 2024,54.8
A863,S3144,C105,Jan 2025,55.8
A864,S3144,C105,Feb 2025,62.7
A865,S3145,C103,Sep 2024,69.1
A866,S3145,C103,Oct 2024,74.1
A867,S3145,C103,Nov 2024,58.5
A868,S3145,C103,Dec 2024,65.6
A869,S3145,C103,Jan 2025,63.8
A870,S3145,C103,Feb 2025,68.3
A871,S3146,C101,Sep 2024,55.4
A872,S3146,C101,Oct 2024,69.9
A873,S3146,C101,Nov 2024,77.7
A874,S3146,C101,Dec 2024,54.8
A875,S3146,C101,Jan 2025,76.0
A876,S3146,C101,Feb 2025,87.8
A877,S3147,C109,Sep 2024,50.4
A878,S3147,C109,Oct 2024,52.4
A879,S3147,C109,Nov 2024,73.3
A880,S3147,C109,Dec 2024,93.6
A881,S3147,C109,Jan 2025,99.9
A882,S3147,C109,Feb 2025,54.7
A883,S3148,C109,Sep 2024,50.9
A884,S3148,C109,Oct 2024,61.4
A885,S3148,C109,Nov 2024,73.4
A886,S3148,C109,Dec 2024,78.6
A887,S3148,C109,Jan 2025,98.7
A888,S3148,C109,Feb 2025,94.4
A889,S3149,C112,Sep 2024,78.1
A890,S3149,C112,Oct 2024,68.1
A891,S3149,C112,Nov 2024,66.1
A892,S3149,C112,Dec 2024,78.6
A893,S3149,C112,Jan 2025,86.1
A894,S3149,C112,Feb 2025,74.1
A895,S3150,C106,Sep 2024,65.2
A896,S3150,C106,Oct 2024,80.7
A897,S3150,C106,Nov 2024,77.9
A898,S3150,C106,Dec 2024,71.4
A899,S3150,C106,Jan 2025,87.4
A900,S3150,C106,Feb 2025,64.1
A901,S3151,C112,Sep 2024,74.2
A902,S3151,C112,Oct 2024,97.0
A903,S3151,C112,Nov 2024,86.1
A904,S3151,C112,Dec 2024,69.4
A905,S3151,C112,Jan 2025,77.3
A906,S3151,C112,Feb 2025,70.3
A907,S3152,C107,Sep 2024,55.6
A908,S3152,C107,Oct 2024,
A909,S3152,C107,Nov 2024,
A910,S3152,C107,Dec 2024,66.7
A911,S3152,C107,Jan 2025,93.0
A912,S3152,C107,Feb 2025,73.1
A913,S3153,C103,Sep 2024,79.2
A914,S3153,C103,Oct 2024,59.1
A915,S3153,C103,Nov 2024,67.8
A916,S3153,C103,Dec 2024,96.5
A917,S3153,C103,Jan 2025,65.7
A918,S3153,C103,Feb 2025,62.5
A919,S3154,C104,Sep 2024,52.8
A920,S3154,C104,Oct 2024,54.9
A921,S3154,C104,Nov 2024,79.2
A922,S3154,C104,Dec 2024,83.0
A923,S3154,C104,Jan 2025,82.1
A924,S3154,C104,Feb 2025,77.0
A925,S3155,C105,Sep 2024,74.5
A926,S3155,C105,Oct 2024,53.6
A927,S3155,C105,Nov 2024,92.0
A928,S3155,C105,Dec 2024,75.7
A929,S3155,C105,Jan 2025,56.6
A930,S3155,C105,Feb 2025,56.8
A931,S3156,C106,Sep 2024,75.6
A932,S3156,C106,Oct 2024,62.2
A933,S3156,C106,Nov 2024,96.1
A934,S3156,C106,Dec 2024,74.9
A935,S3156,C106,Jan 2025,98.9
A936,S3156,C106,Feb 2025,86.7
A937,S3157,C108,Sep 2024,90.5
A938,S3157,C108,Oct 2024,69.4
A939,S3157,C108,Nov 2024,56.7
A940,S3157,C108,Dec 2024,84.5
A941,S3157,C108,Jan 2025,
A942,S3157,C108,Feb 2025,70.4
A943,S3158,C108,Sep 2024,97.4
A944,S3158,C108,Oct 2024,59.7
A945,S3158,C108,Nov 2024,81.3
A946,S3158,C108,Dec 2024,93.3
A947,S3158,C108,Jan 2025,70.1
A948,S3158,C108,Feb 2025,97.7
A949,S3159,C103,Sep 2024,53.8
A950,S3159,C103,Oct 2024,
A951,S3159,C103,Nov 2024,
A952,S3159,C103,Dec 2024,79.3
A953,S3159,C103,Jan 2025,88.9
A954,S3159,C103,Feb 2025,60.1
A955,S3160,C109,Sep 2024,52.9
A956,S3160,C109,Oct 2024,54.0
A957,S3160,C109,Nov 2024,66.0
A958,S3160,C109,Dec 2024,61.2
A959,S3160,C109,Jan 2025,61.2
A960,S3160,C109,Feb 2025,72.9
A961,S3161,C103,Sep 2024,54.2
A962,S3161,C103,Oct 2024,99.8
A963,S3161,C103,Nov 2024,
A964,S3161,C103,Dec 2024,84.8
A965,S3161,C103,Jan 2025,51.5
A966,S3161,C103,Feb 2025,84.6
A967,S3162,C102,Sep 2024,89.6
A968,S3162,C102,Oct 2024,59.5
A969,S3162,C102,Nov 2024,92.0
A970,S3162,C102,Dec 2024,80.6
A971,S3162,C102,Jan 2025,91.0
A972,S3162,C102,Feb 2025,85.8
A973,S3163,C103,Sep 2024,
A974,S3163,C103,Oct 2024,85.2
A975,S3163,C103,Nov 2024,57.9
A976,S3163,C103,Dec 2024,65.8
A977,S3163,C103,Jan 2025,76.2
A978,S3163,C103,Feb 2025,55.6
A979,S3164,C111,Sep 2024,73.9
A980,S3164,C111,Oct 2024,72.3
A981,S3164,C111,Nov 2024,61.6
A982,S3164,C111,Dec 2024,60.0
A983,S3164,C111,Jan 2025,62.4
A984,S3164,C111,Feb 2025,80.3
A985,S3165,C109,Sep 2024,70.7
A986,S3165,C109,Oct 2024,70.7
A987,S3165,C109,Nov 2024,59.1
A988,S3165,C109,Dec 2024,89.4
A989,S3165,C109,Jan 2025,85.0
A990,S3165,C109,Feb 2025,71.5
A991,S3166,C110,Sep 2024,57.1
A992,S3166,C110,Oct 2024,85.7
A993,S3166,C110,Nov 2024,94.9
A994,S3166,C110,Dec 2024,58.9
A995,S3166,C110,Jan 2025,80.1
A996,S3166,C110,Feb 2025,71.2
A997,S3167,C108,Sep 2024,54.4
A998,S3167,C108,Oct 2024,86.3
A999,S3167,C108,Nov 2024,53.6
A1000,S3167,C108,Dec 2024,
A1001,S3167,C108,Jan 2025,85.1
A1002,S3167,C108,Feb 2025,64.1
A1003,S3168,C111,Sep 2024,78.3
A1004,S3168,C111,Oct 2024,58.0
A1005,S3168,C111,Nov 2024,68.5
A1006,S3168,C111,Dec 2024,55.2
A1007,S3168,C111,Jan 2025,
A1008,S3168,C111,Feb 2025,73.4
A1009,S3169,C107,Sep 2024,
A1010,S3169,C107,Oct 2024,60.7
A1011,S3169,C107,Nov 2024,59.4
A1012,S3169,C107,Dec 2024,55.4
A1013,S3169,C107,Jan 2025,88.3
A1014,S3169,C107,Feb 2025,82.0
A1015,S3170,C110,Sep 2024,57.8
A1016,S3170,C110,Oct 2024,73.6
A1017,S3170,C110,Nov 2024,83.0
A1018,S3170,C110,Dec 2024,93.9
A1019,S3170,C110,Jan 2025,53.0
A1020,S3170,C110,Feb 2025,68.1
A1021,S3171,C103,Sep 2024,80.8
A1022,S3171,C103,Oct 2024,50.8
A1023,S3171,C103,Nov 2024,62.2
A1024,S3171,C103,Dec 2024,87.2
A1025,S3171,C103,Jan 2025,67.8
A1026,S3171,C103,Feb 2025,54.2
A1027,S3172,C108,Sep 2024,81.3
A1028,S3172,C108,Oct 2024,62.5
A1029,S3172,C108,Nov 2024,85.1
A1030,S3172,C108,Dec 2024,95.0
A1031,S3172,C108,Jan 2025,76.4
A1032,S3172,C108,Feb 2025,80.0
A1033,S3173,C103,Sep 2024,75.7
A1034,S3173,C103,Oct 2024,90.9
A1035,S3173,C103,Nov 2024,62.1
A1036,S3173,C103,Dec 2024,
A1037,S3173,C103,Jan 2025,70.1
A1038,S3173,C103,Feb 2025,94.8
A1039,S3174,C102,Sep 2024,
A1040,S3174,C102,Oct 2024,86.2
A1041,S3174,C102,Nov 2024,66.0
A1042,S3174,C102,Dec 2024,91.6
A1043,S3174,C102,Jan 2025,61.9
A1044,S3174,C102,Feb 2025,81.7
A1045,S3175,C109,Sep 2024,97.8
A1046,S3175,C109,Oct 2024,78.7
A1047,S3175,C109,Nov 2024,90.0
A1048,S3175,C109,Dec 2024,86.8
A1049,S3175,C109,Jan 2025,93.3
A1050,S3175,C109,Feb 2025,98.4
A1051,S3176,C106,Sep 2024,51.1
A1052,S3176,C106,Oct 2024,51.4
A1053,S3176,C106,Nov 2024,79.7
A1054,S3176,C106,Dec 2024,
A1055,S3176,C106,Jan 2025,
A1056,S3176,C106,Feb 2025,97.7
A1057,S3177,C111,Sep 2024,74.3
A1058,S3177,C111,Oct 2024,92.0
A1059,S3177,C111,Nov 2024,88.4
A1060,S3177,C111,Dec 2024,74.9
A1061,S3177,C111,Jan 2025,75.7
A1062,S3177,C111,Feb 2025,
A1063,S3178,C110,Sep 2024,71.8
A1064,S3178,C110,Oct 2024,62.6
A1065,S3178,C110,Nov 2024,92.9
A1066,S3178,C110,Dec 2024,60.5
A1067,S3178,C110,Jan 2025,95.3
A1068,S3178,C110,Feb 2025,68.0
A1069,S3179,C106,Sep 2024,51.3
A1070,S3179,C106,Oct 2024,
A1071,S3179,C106,Nov 2024,58.4
A1072,S3179,C106,Dec 2024,94.4
A1073,S3179,C106,Jan 2025,56.4
A1074,S3179,C106,Feb 2025,86.9
A1075,S3180,C104,Sep 2024,59.1
A1076,S3180,C104,Oct 2024,74.9
A1077,S3180,C104,Nov 2024,60.3
A1078,S3180,C104,Dec 2024,66.7
A1079,S3180,C104,Jan 2025,56.2
A1080,S3180,C104,Feb 2025,77.8
A1081,S3181,C104,Sep 2024,
A1082,S3181,C104,Oct 2024,68.3
A1083,S3181,C104,Nov 2024,68.3
A1084,S3181,C104,Dec 2024,51.9
A1085,S3181,C104,Jan 2025,
A1086,S3181,C104,Feb 2025,56.8
A1087,S3182,C105,Sep 2024,85.4
A1088,S3182,C105,Oct 2024,
A1089,S3182,C105,Nov 2024,
A1090,S3182,C105,Dec 2024,
A1091,S3182,C105,Jan 2025,64.6
A1092,S3182,C105,Feb 2025,72.1
A1093,S3183,C106,Sep 2024,88.2
A1094,S3183,C106,Oct 2024,72.2
A1095,S3183,C106,Nov 2024,
A1096,S3183,C106,Dec 2024,61.3
A1097,S3183,C106,Jan 2025,
A1098,S3183,C106,Feb 2025,77.5
A1099,S3184,C101,Sep 2024,90.1
A1100,S3184,C101,Oct 2024,80.0
A1101,S3184,C101,Nov 2024,71.0
A1102,S3184,C101,Dec 2024,56.3
A1103,S3184,C101,Jan 2025,62.4
A1104,S3184,C101,Feb 2025,97.3
A1105,S3185,C106,Sep 2024,88.6
A1106,S3185,C106,Oct 2024,54.4
A1107,S3185,C106,Nov 2024,50.3
A1108,S3185,C106,Dec 2024,58.8
A1109,S3185,C106,Jan 2025,97.2
A1110,S3185,C106,Feb 2025,79.0
A1111,S3186,C112,Sep 2024,91.9
A1112,S3186,C112,Oct 2024,73.3
A1113,S3186,C112,Nov 2024,91.3
A1114,S3186,C112,Dec 2024,51.7
A1115,S3186,C112,Jan 2025,71.3
A1116,S3186,C112,Feb 2025,68.9
A1117,S3187,C105,Sep 2024,99.1
A1118,S3187,C105,Oct 2024,65.0
A1119,S3187,C105,Nov 2024,70.8
A1120,S3187,C105,Dec 2024,87.9
A1121,S3187,C105,Jan 2025,94.0
A1122,S3187,C105,Feb 2025,93.9
A1123,S3188,C103,Sep 2024,69.7
A1124,S3188,C103,Oct 2024,
A1125,S3188,C103,Nov 2024,97.4
A1126,S3188,C103,Dec 2024,82.7
A1127,S3188,C103,Jan 2025,92.6
A1128,S3188,C103,Feb 2025,96.3
A1129,S3189,C109,Sep 2024,61.7
A1130,S3189,C109,Oct 2024,75.0
A1131,S3189,C109,Nov 2024,79.4
A1132,S3189,C109,Dec 2024,90.1
A1133,S3189,C109,Jan 2025,70.1
A1134,S3189,C109,Feb 2025,60.5
A1135,S3190,C101,Sep 2024,87.2
A1136,S3190,C101,Oct 2024,79.6
A1137,S3190,C101,Nov 2024,94.9
A1138,S3190,C101,Dec 2024,82.8
A1139,S3190,C101,Jan 2025,50.8
A1140,S3190,C101,Feb 2025,98.3
A1141,S3191,C101,Sep 2024,79.7
A1142,S3191,C101,Oct 2024,79.8
A1143,S3191,C101,Nov 2024,95.5
A1144,S3191,C101,Dec 2024,83.2
A1145,S3191,C101,Jan 2025,74.0
A1146,S3191,C101,Feb 2025,55.4
A1147,S3192,C108,Sep 2024,98.1
A1148,S3192,C108,Oct 2024,53.9
A1149,S3192,C108,Nov 2024,58.5
A1150,S3192,C108,Dec 2024,91.0
A1151,S3192,C108,Jan 2025,74.5
A1152,S3192,C108,Feb 2025,58.9
A1153,S3193,C108,Sep 2024,64.3
A1154,S3193,C108,Oct 2024,99.7
A1155,S3193,C108,Nov 2024,79.2
A1156,S3193,C108,Dec 2024,70.1
A1157,S3193,C108,Jan 2025,93.8
A1158,S3193,C108,Feb 2025,74.0
A1159,S3194,C102,Sep 2024,65.4
A1160,S3194,C102,Oct 2024,58.2
A1161,S3194,C102,Nov 2024,87.2
A1162,S3194,C102,Dec 2024,79.8
A1163,S3194,C102,Jan 2025,54.6
A1164,S3194,C102,Feb 2025,79.6
A1165,S3195,C104,Sep 2024,58.0
A1166,S3195,C104,Oct 2024,99.1
A1167,S3195,C104,Nov 2024,63.0
A1168,S3195,C104,Dec 2024,84.8
A1169,S3195,C104,Jan 2025,
A1170,S3195,C104,Feb 2025,82.8
A1171,S3196,C111,Sep 2024,84.6
A1172,S3196,C111,Oct 2024,71.5
A1173,S3196,C111,Nov 2024,53.7
A1174,S3196,C111,Dec 2024,99.0
A1175,S3196,C111,Jan 2025,59.6
A1176,S3196,C111,Feb 2025,88.5
A1177,S3197,C105,Sep 2024,56.9
A1178,S3197,C105,Oct 2024,64.1
A1179,S3197,C105,Nov 2024,78.0
A1180,S3197,C105,Dec 2024,70.7
A1181,S3197,C105,Jan 2025,97.9
A1182,S3197,C105,Feb 2025,92.4
A1183,S3198,C107,Sep 2024,96.1
A1184,S3198,C107,Oct 2024,82.0
A1185,S3198,C107,Nov 2024,60.9
A1186,S3198,C107,Dec 2024,75.9
A1187,S3198,C107,Jan 2025,88.3
A1188,S3198,C107,Feb 2025,53.2
A1189,S3199,C107,Sep 2024,
A1190,S3199,C107,Oct 2024,93.2
A1191,S3199,C107,Nov 2024,81.6
A1192,S3199,C107,Dec 2024,
A1193,S3199,C107,Jan 2025,86.2
A1194,S3199,C107,Feb 2025,84.7
A1195,S3200,C111,Sep 2024,92.4
A1196,S3200,C111,Oct 2024,54.4
A1197,S3200,C111,Nov 2024,68.9
A1198,S3200,C111,Dec 2024,75.1
A1199,S3200,C111,Jan 2025,77.3
A1200,S3200,C111,Feb 2025,97.1
A1201,S3201,C107,Sep 2024,52.1
A1202,S3201,C107,Oct 2024,93.3
A1203,S3201,C107,Nov 2024,77.6
A1204,S3201,C107,Dec 2024,77.7
A1205,S3201,C107,Jan 2025,66.0
A1206,S3201,C107,Feb 2025,82.2
A1207,S3202,C108,Sep 2024,82.3
A1208,S3202,C108,Oct 2024,59.5
A1209,S3202,C108,Nov 2024,83.9
A1210,S3202,C108,Dec 2024,63.3
A1211,S3202,C108,Jan 2025,84.4
A1212,S3202,C108,Feb 2025,80.6
A1213,S3203,C108,Sep 2024,85.8
A1214,S3203,C108,Oct 2024,51.0
A1215,S3203,C108,Nov 2024,56.3
A1216,S3203,C108,Dec 2024,92.0
A1217,S3203,C108,Jan 2025,69.0
A1218,S3203,C108,Feb 2025,91.8
A1219,S3204,C101,Sep 2024,53.1
A1220,S3204,C101,Oct 2024,88.5
A1221,S3204,C101,Nov 2024,54.2
A1222,S3204,C101,Dec 2024,73.4
A1223,S3204,C101,Jan 2025,96.9
A1224,S3204,C101,Feb 2025,53.9
A1225,S3205,C111,Sep 2024,67.5
A1226,S3205,C111,Oct 2024,75.9
A1227,S3205,C111,Nov 2024,
A1228,S3205,C111,Dec 2024,95.0
A1229,S3205,C111,Jan 2025,66.6
A1230,S3205,C111,Feb 2025,90.4
A1231,S3206,C105,Sep 2024,85.9
A1232,S3206,C105,Oct 2024,65.4
A1233,S3206,C105,Nov 2024,67.0
A1234,S3206,C105,Dec 2024,59.6
A1235,S3206,C105,Jan 2025,84.6
A1236,S3206,C105,Feb 2025,78.2
A1237,S3207,C106,Sep 2024,57.7
A1238,S3207,C106,Oct 2024,
A1239,S3207,C106,Nov 2024,81.0
A1240,S3207,C106,Dec 2024,74.9
A1241,S3207,C106,Jan 2025,54.6
A1242,S3207,C106,Feb 2025,97.7
A1243,S3208,C112,Sep 2024,91.7
A1244,S3208,C112,Oct 2024,53.6
A1245,S3208,C112,Nov 2024,96.6
A1246,S3208,C112,Dec 2024,95.8
A1247,S3208,C112,Jan 2025,52.1
A1248,S3208,C112,Feb 2025,60.1
A1249,S3209,C112,Sep 2024,85.1
A1250,S3209,C112,Oct 2024,96.7
A1251,S3209,C112,Nov 2024,91.2
A1252,S3209,C112,Dec 2024,64.1
A1253,S3209,C112,Jan 2025,51.7
A1254,S3209,C112,Feb 2025,73.6
A1255,S3210,C110,Sep 2024,54.6
A1256,S3210,C110,Oct 2024,62.3
A1257,S3210,C110,Nov 2024,82.0
A1258,S3210,C110,Dec 2024,74.8
A1259,S3210,C110,Jan 2025,68.8
A1260,S3210,C110,Feb 2025,96.5
A1261,S3211,C111,Sep 2024,59.6
A1262,S3211,C111,Oct 2024,74.4
A1263,S3211,C111,Nov 2024,78.7
A1264,S3211,C111,Dec 2024,66.1
A1265,S3211,C111,Jan 2025,85.3
A1266,S3211,C111,Feb 2025,93.4
A1267,S3212,C110,Sep 2024,77.1
A1268,S3212,C110,Oct 2024,
A1269,S3212,C110,Nov 2024,89.1
A1270,S3212,C110,Dec 2024,53.0
A1271,S3212,C110,Jan 2025,57.7
A1272,S3212,C110,Feb 2025,73.1
A1273,S3213,C104,Sep 2024,96.1
A1274,S3213,C104,Oct 2024,76.6
A1275,S3213,C104,Nov 2024,71.6
A1276,S3213,C104,Dec 2024,80.0
A1277,S3213,C104,Jan 2025,56.2
A1278,S3213,C104,Feb 2025,82.7
A1279,S3214,C108,Sep 2024,54.7
A1280,S3214,C108,Oct 2024,78.8
A1281,S3214,C108,Nov 2024,
A1282,S3214,C108,Dec 2024,85.7
A1283,S3214,C108,Jan 2025,70.6
A1284,S3214,C108,Feb 2025,
A1285,S3215,C105,Sep 2024,95.5
A1286,S3215,C105,Oct 2024,57.6
A1287,S3215,C105,Nov 2024,58.5
A1288,S3215,C105,Dec 2024,75.8
A1289,S3215,C105,Jan 2025,96.6
A1290,S3215,C105,Feb 2025,69.5
A1291,S3216,C102,Sep 2024,96.3
A1292,S3216,C102,Oct 2024,84.7
A1293,S3216,C102,Nov 2024,89.1
A1294,S3216,C102,Dec 2024,96.9
A1295,S3216,C102,Jan 2025,78.6
A1296,S3216,C102,Feb 2025,82.1
A1297,S3217,C103,Sep 2024,78.9
A1298,S3217,C103,Oct 2024,89.2
A1299,S3217,C103,Nov 2024,63.7
A1300,S3217,C103,Dec 2024,89.4
A1301,S3217,C103,Jan 2025,85.7
A1302,S3217,C103,Feb 2025,80.1
A1303,S3218,C104,Sep 2024,51.9
A1304,S3218,C104,Oct 2024,88.7
A1305,S3218,C104,Nov 2024,56.6
A1306,S3218,C104,Dec 2024,98.1
A1307,S3218,C104,Jan 2025,54.1
A1308,S3218,C104,Feb 2025,86.0
A1309,S3219,C110,Sep 2024,68.0
A1310,S3219,C110,Oct 2024,
A1311,S3219,C110,Nov 2024,86.8
A1312,S3219,C110,Dec 2024,75.9
A1313,S3219,C110,Jan 2025,81.5
A1314,S3219,C110,Feb 2025,53.8
A1315,S3220,C112,Sep 2024,98.3
A1316,S3220,C112,Oct 2024,50.2
A1317,S3220,C112,Nov 2024,97.1
A1318,S3220,C112,Dec 2024,78.4
A1319,S3220,C112,Jan 2025,62.9
A1320,S3220,C112,Feb 2025,81.9
A1321,S3221,C111,Sep 2024,83.6
A1322,S3221,C111,Oct 2024,86.5
A1323,S3221,C111,Nov 2024,50.8
A1324,S3221,C111,Dec 2024,99.1
